"","ASV3","ASV4","ASV7","ASV8","ASV9","ASV12","ASV14","ASV15","ASV16","ASV24","ASV26","ASV33","ASV36","ASV39","ASV43","ASV45","ASV46","ASV47","ASV52","ASV55","ASV58","ASV62","ASV63","ASV67","ASV69","ASV70","ASV74","ASV78","ASV79","ASV82","ASV83","ASV87","ASV88","ASV89","ASV92","ASV94","ASV96","ASV100","ASV106","ASV110","ASV111","ASV118","ASV123","ASV124","ASV125","ASV129","ASV133","ASV137","ASV138","ASV139","ASV140","ASV144","ASV146","ASV152","ASV153","ASV154","ASV158","ASV160","ASV164","ASV167","ASV172","ASV178","ASV179","ASV181","ASV188","ASV189","ASV195","ASV200","ASV202","ASV207","ASV210","ASV212","ASV221","ASV227","ASV229","ASV231","ASV232","ASV234","ASV239","ASV247","ASV251","ASV253","ASV254","ASV256","ASV257","ASV258","ASV262","ASV266","ASV271","ASV279","ASV280","ASV283","ASV284","ASV291","ASV296","ASV305","ASV308","ASV312","ASV313","ASV314","ASV323","ASV324","ASV328","ASV338","ASV347","ASV353","ASV355","ASV368","ASV369","ASV373","ASV392","ASV393","ASV394","ASV396","ASV398","ASV400","ASV403","ASV406","ASV410","ASV411","ASV413","ASV417","ASV418","ASV419","ASV420","ASV422","ASV428","ASV429","ASV438","ASV448","ASV453","ASV457","ASV462","ASV466","ASV468","ASV472","ASV475","ASV480","ASV481","ASV485","ASV487","ASV491","ASV503","ASV504","ASV505","ASV506","ASV514","ASV515","ASV516","ASV527","ASV528","ASV530","ASV531","ASV533","ASV534","ASV539","ASV564","ASV567","ASV571","ASV578","ASV583","ASV584","ASV585","ASV587","ASV590","ASV605","ASV610","ASV613","ASV615","ASV619","ASV621","ASV637","ASV645","ASV647","ASV662","ASV664","ASV665","ASV675","ASV676","ASV683","ASV688","ASV705","ASV718","ASV729","ASV730","ASV731","ASV737","ASV739","ASV743","ASV745","ASV748","ASV752","ASV753","ASV756","ASV757","ASV769","ASV783","ASV804","ASV811","ASV812","ASV816","ASV826","ASV831","ASV833","ASV838","ASV840","ASV845","ASV849","ASV853","ASV855","ASV863","ASV866","ASV868","ASV871","ASV898","ASV904","ASV915","ASV921","ASV926","ASV928","ASV930","ASV933","ASV936","ASV939","ASV941","ASV942","ASV950","ASV953","ASV961","ASV967","ASV968","ASV980","ASV986","ASV987","ASV1020","ASV1021","ASV1039","ASV1046","ASV1050","ASV1051","ASV1056","ASV1059","ASV1065","ASV1075","ASV1090","ASV1092","ASV1094","ASV1098","ASV1120","ASV1121","ASV1125","ASV1144","ASV1150","ASV1156","ASV1184","ASV1186","ASV1187","ASV1195","ASV1212","ASV1215","ASV1219","ASV1237","ASV1243","ASV1249","ASV1252","ASV1253","ASV1257","ASV1265","ASV1266","ASV1268","ASV1295","ASV1299","ASV1319","ASV1332","ASV1338","ASV1340","ASV1342","ASV1369","ASV1375","ASV1391","ASV1396","ASV1398","ASV1404","ASV1405","ASV1407","ASV1414","ASV1420","ASV1429","ASV1454","ASV1473","ASV1480","ASV1483","ASV1485","ASV1491","ASV1495","ASV1496","ASV1536","ASV1540","ASV1542","ASV1546","ASV1552","ASV1563","ASV1572","ASV1574","ASV1575","ASV1578","ASV1586","ASV1590","ASV1599","ASV1607","ASV1621","ASV1658","ASV1663","ASV1668","ASV1680","ASV1682","ASV1720","ASV1729","ASV1740","ASV1755","ASV1768","ASV1769","ASV1774","ASV1782","ASV1800","ASV1806","ASV1808","ASV1813","ASV1818","ASV1830","ASV1837","ASV1845","ASV1849","ASV1856","ASV1858","ASV1862","ASV1869","ASV1883","ASV1889","ASV1893","ASV1902","ASV1905","ASV1908","ASV1911","ASV1921","ASV1934","ASV1938","ASV1940","ASV1950","ASV1957","ASV1960","ASV1961","ASV1975","ASV1977","ASV1984","ASV2017","ASV2035","ASV2080","ASV2097","ASV2135","ASV2138","ASV2156","ASV2161","ASV2165","ASV2172","ASV2175","ASV2184","ASV2211","ASV2222","ASV2223","ASV2238","ASV2243","ASV2245","ASV2266","ASV2275","ASV2283","ASV2299","ASV2311","ASV2326","ASV2328","ASV2330","ASV2371","ASV2378","ASV2388","ASV2393","ASV2394","ASV2430","ASV2440","ASV2442","ASV2451","ASV2453","ASV2459","ASV2480","ASV2488","ASV2495","ASV2501","ASV2538","ASV2550","ASV2557","ASV2574","ASV2579","ASV2582","ASV2584","ASV2591","ASV2600","ASV2601","ASV2638","ASV2646","ASV2651","ASV2667","ASV2689","ASV2703","ASV2730","ASV2734","ASV2736","ASV2737","ASV2741","ASV2744","ASV2746","ASV2764","ASV2776","ASV2783","ASV2784","ASV2801","ASV2804","ASV2815","ASV2819","ASV2829","ASV2848","ASV2870","ASV2877","ASV2882","ASV2899","ASV2917","ASV2944","ASV2945","ASV2959","ASV2960","ASV2961","ASV2979","ASV2997","ASV3010","ASV3055","ASV3071","ASV3074","ASV3087","ASV3099","ASV3109","ASV3111","ASV3113","ASV3114","ASV3116","ASV3117","ASV3125","ASV3128","ASV3134","ASV3135","ASV3139","ASV3143","ASV3148","ASV3158","ASV3161","ASV3165","ASV3206","ASV3209","ASV3211","ASV3227","ASV3236","ASV3244","ASV3247","ASV3256","ASV3259","ASV3268","ASV3269","ASV3271","ASV3279","ASV3280","ASV3282","ASV3283","ASV3292","ASV3297","ASV3299","ASV3330","ASV3331","ASV3332","ASV3333","ASV3359","ASV3366","ASV3370","ASV3379","ASV3380","ASV3383","ASV3386","ASV3391","ASV3394","ASV3429","ASV3434","ASV3447","ASV3456","ASV3457","ASV3465","ASV3478","ASV3486","ASV3490","ASV3493","ASV3497","ASV3510","ASV3513","ASV3531","ASV3533","ASV3534","ASV3538","ASV3543","ASV3546","ASV3555","ASV3562","ASV3571","ASV3586","ASV3597","ASV3627","ASV3638","ASV3641","ASV3647","ASV3663","ASV3666","ASV3693","ASV3696","ASV3702"
"pp10_wolf_control_f_p2_f7",46,27,1346,1543,0,2754,148,248,0,0,241,23,70,0,0,319,0,0,0,0,107,65,78,0,0,1537,0,0,0,0,0,49,102,23,76,130,90,0,0,0,0,14,0,0,0,80,0,0,163,26,0,0,0,81,13,0,0,35,0,0,0,0,0,68,0,0,0,26,0,47,0,0,16,0,0,0,0,0,16,0,0,0,0,0,129,4,0,0,0,0,0,0,17,11,6,0,0,0,0,0,0,0,268,0,0,0,0,0,0,56,0,0,0,0,30,57,21,0,0,0,253,0,3,0,0,0,0,0,0,50,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp10_wolf_control_i_p3_d10",0,0,262,568,32,427,111,101,0,0,469,64,0,0,392,39,34,13,0,11,46,0,85,0,0,0,0,0,0,0,0,0,0,0,216,11,45,0,0,0,0,128,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,43,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,41,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp10_wolf_sterile_f_p2_f9",33,0,83,263,88,823,283,306,0,0,0,2068,148,16,0,38,0,0,0,0,0,198,0,0,0,218,0,0,0,0,19,0,18,0,0,0,45,0,0,0,0,21,41,0,0,22,0,0,58,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,57,0,0,0,15,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp11_pruth_bay_asu_f_p2_c10",0,22,31,315,0,74,225,0,111,0,33,43,0,0,0,0,26,45,0,0,33,0,84,0,0,0,0,0,224,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,46,0,60,0,39,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,22,0,0,19,0,0,116,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp11_pruth_bay_control_f_p3_e1",7,967,5200,2966,37,372,881,209,0,0,153,16,0,0,318,128,131,0,0,0,118,236,40,0,0,0,0,0,0,111,0,0,0,0,107,53,47,0,0,0,0,26,215,0,26,0,0,0,66,0,0,34,0,0,0,0,66,66,0,0,16,0,0,0,48,0,0,0,0,0,0,0,0,0,0,72,0,0,24,0,80,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,22,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,33,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp11_pruth_bay_control_i_p3_g6",0,897,549,1231,2433,2572,0,0,0,0,0,0,0,0,0,333,0,22,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp14_sandspit_asu_f_p3_f8",1125,31,0,467,0,1255,153,755,0,0,92,117,345,66,0,245,0,0,0,0,0,169,0,0,0,0,0,0,0,0,51,45,42,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,194,0,0,0,16,0,73,70,0,0,0,0,0,0,0,0,0,23,262,0,0,0,0,0,0,49,0,0,0,0,61,0,26,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp14_sandspit_control_f_p3_e6",84,247,681,336,0,1625,144,283,0,0,161,835,25,0,209,392,0,0,0,0,37,38,204,7,0,57,0,0,0,0,19,112,62,0,201,18,226,0,66,0,0,14,344,0,0,0,0,0,47,7,0,76,0,0,0,0,0,165,59,28,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,47,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0,17,0,83,0,0,0,10,0,0,0,24,0,0,0,0,0,0,0,0,0,0,37,0,93,5,0,157,0,0,0,0,0,0,0,0,0,0,53,14,1148,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp14_sandspit_sterile_f_p1_h6",1882,27,294,3050,341,879,1851,17599,22,0,119,10965,640,0,0,1547,19,0,0,0,0,5662,34,0,0,72,0,0,0,0,274,118,60,614,228,193,383,0,509,0,0,0,43,0,0,0,0,0,0,31,0,8,0,0,0,99,931,0,0,7,0,0,0,92,0,0,0,377,0,0,0,98,15,0,86,0,0,0,0,0,0,23,0,0,38,0,0,0,0,16,0,0,115,0,68,0,0,0,0,0,0,0,61,15,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,27,0,0,0,0,0,0,0,82,52,41,19,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,219,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"pp15_wolf_asu_f_p1_f4",128,0,0,217,0,364,84,60,0,0,41,22,70,0,0,29,0,0,0,0,0,58,0,0,0,0,0,0,0,0,196,63,48,0,0,67,70,0,30,0,0,0,0,0,0,75,0,0,27,12,0,9,0,75,11,46,0,17,0,35,0,0,0,77,0,0,22,31,0,29,0,0,125,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
